name,billing_address,billing_city,billing_state,billing_zip,shipping_name,shipping_address,shipping_city,shipping_state,shipping_zip,print_as,contact_firstname,contact_lastname,contact_email,phone,type,
"Lowland Farms-Johns Island, SC",3702 River Road,Johns Island,SC,29455,Lowland Farms,3702 River Road,Johns Island,SC,29455,Lowland Farms,Kenneth,Melton, ,843-860-0476,S,
"Manchester Farms-Columbia, SC",8126 Garners Ferry Rd,Columbia,SC,29209,Manchester Farms,8126 Garners Ferry Rd,Columbia,SC,29209,Manchester Farms,Matt & Brittney,Miller,mmiller@manchesterfarms.com,800.845.0421 ,,
"Maple Ridge Farm-Canadys, SC",4820 Maple Ridge Rd,Walterboro,SC,29488,Maple Ridge Farm,4820 Maple Ridge Rd,Walterboro,SC,29488,Maple Ridge Farm,Fritz,Aichele,saichele@lowcountry.com,843.538.3345,S,
"McManus Farms - Andrews, SC",PO Box 504,Andrews,SC,29510,Gilmore McManus,PO Box 504,Andrews,SC,29510,Gilmore McManus,Gilmore,McManus, ,843-543-2508,S,
"MD Farm-Hopkins, SC",1234 Old Garners Ferry Rd,Hopkins,SC,29061,MD Farm,1234 Old Garners Ferry Rd,Hopkins,SC,29061,MD Farm,Cathy,Patry,rockincat74@gmail.com,843.267.2484,S,
"Middleton Place Farm - Charleston, SC",4300 Ashely River Rd.,Charleston,SC,29414,Middleton Place Farm ,4300 Ashely River Rd.,Charleston,SC,29414,Middleton Place Farm ,Micah,Garrison,mgarrison@middletonplace.org,803-622-3255,S,
"Monetta Asparagus Farm - Monetta, SC",205 Born Again Road,Batesburg,SC,29006,Monetta Asparagus Farm,205 Born Again Road,Batesburg,SC,29006,Monetta Asparagus Farm,Jeremy,Fallaw,jeremyfallaw@hotmail.com,843-442-8686,S,
"Murdaugh Farms - Early Branch, SC",22603 Pocotaligo Rd.,Early Branch,SC,29916,Neil Murdaugh,22603 Pocotaligo Rd.,Early Branch,SC,29916,Neil Murdaugh,Neil,Murdaugh,murdaughfarms1@yahoo.com,803-942-3814,S,
"Nambour Farms - Charleston, SC",43 Oswego St. (Forager #18),Charleston,SC,29403,Nambour Farms ,43 Oswego St. (Forager #18),Charleston,SC,29403,Nambour Farms ,Nick,McNevin,nick@nickmcnevin.com,917-328-5755,S,
"Old McDonald Farms - Ft. Motte, SC",89 Hanes Mill Rd.,Ft. Motte,SC,29135,Bobby McDonald,89 Hanes Mill Rd.,Ft. Motte,SC,29135,Bobby McDonald,Bobby,McDonald,mk1615robert@yahoo.com,803-707-1040,S,
"Old Tyme Bean Co.-Cameron, SC (GC)",9300 Old State Rd,Cameron,SC,29030,Old Tyme Bean Co.,9300 Old State Rd,Cameron,SC,29030,Old Tyme Bean Co.,Josh,Johnson,farmerjoshjohnson@yahoo.com,803-682-6040,S,
"Orange Grove Plantation-Beaufort, SC",PO Box 1063,Beaufort,SC,29901,Orange Grove Plantation Inc.,PO Box 1063,Beaufort,SC,29901,Orange Grove Plantation Inc.,John,Trask,john@frogmore.com,843.592.1040,S,
"Rebecca Farms - Hemingway, SC",305 N. Lafayette,Hemingway,SC,29554,Rebecca Farms ,305 N. Lafayette,Hemingway,SC,29554,Rebecca Farms ,Jay,Lewis,jay@lowcountrymushrooms.com,843-558-2632,S,
"Rest Park Farm - Beaufort, SC",191 Seabrook Rd,Seabrook,SC,29940,Rest Park Farm ,191 Seabrook Rd,Seabrook,SC,29940,Rest Park Farm ,Urbie,West,info@restparkfarm.com,843.592.3535,S,
Rheaberry Farms - James Island,17 Pinckney St,Charleston,SC,29401,Rheaberry Farms ,17 Pinckney St,Charleston,SC,29401,Rheaberry Farms ,Cynthia,Smith,otv@bellsouth.net,843-708-9908,S, 
"Robert Berry Farm - Charleston, SC",233 Riverland Drive,Charleston,SC,29412,Robert Berry,233 Riverland Drive,Charleston,SC,29412,Robert Berry,Robert,Berry,robert@pancitoandlefty.com,347-843-2170,S,
"Rooting Down Farms - Johns Island, SC",101 Grayson Lane,Summerville,SC,29485,Rooting Down Farms ,101 Grayson Lane,Summerville,SC,29485,Rooting Down Farms ,Harleston,Towles,harlestontowles3@gmail.com,843-557-5765,S,
"Rosebank Farms - Johns Island, SC (GC)",3205 Resurrection Rd.,Johns Island,SC,29455,Sidi Limehouse,3205 Resurrection Rd.,Johns Island,SC,29455,Sidi Limehouse,Sidi,Limehouse,email@rosebankfarms.com,843-768-0508,S,
"Sadler Farms - Charleston, SC",5346 Hartford Circle,N. Charleston,SC,29405,Jake Sadler,5346 Hartford Circle,N. Charleston,SC,29405,Jake Sadler,Jake,Sadler,jakes@growfoodcarolina.com,843-303-2619,S,
"Saw Mill Pond Vineyard - Andrews, SC",8 Old Cemetery Road,Andrews,SC,29510,Saw Mill Pond Vineyard,8 Old Cemetery Road,Andrews,SC,29510,Saw Mill Pond Vineyard,Peggy,Smith,sawmillpond@sc.rr.com,843.264.5994,S,
"SC Wild Mushrooms - Summerville, SC",144 Mateeba Gardens Rd.,Summerville,SC,29485,John Overcash,144 Mateeba Gardens Rd.,Summerville,SC,29485,John Overcash,John,Overcash,joverca1@citadel.edu,843-693-2179,S,
"Scots Burn Forest Farms - Johns Island, SC",PO Box #1124,Charleston,SC,29402,Scots Burn Forest Farms,PO Box #1124,Charleston,SC,29402,Scots Burn Forest Farms,Jane,McFaddin,jamcfaddin@bellsouth.net,843.819.7430,S,
"Sea Island Citrus & Nut Farm - Johns Island, SC",1456 Battery Brown Ct.,Charleston,SC,29412,Sea Island Citrus & Nut Farm,1456 Battery Brown Ct.,Charleston,SC,29412,"Sea Island Citrus & Nut Farm, LLC",Susan,Walters,palmarts@bellsouth.net,843-452-4572,S,
"Sea Island Farm, LLC - Johns Island, SC",2450 Preserve Rd.,Johns Island,SC,29455,"Sea Island Farm, LLC ",2450 Preserve Rd.,Johns Island,SC,29455,"Sea Island Farm, LLC ",Steve,Kolaski,sckolaski@yahoo.com,678-787-1564,S,
"Sheldon Farms - Sheldon, SC",83 Huspah Dr.,Seabrook Island,SC,29940,Woody Collins,83 Huspah Dr.,Seabrook Island,SC,29940,Woody Collins,Woody,Collins,woodycollins9@gmail.com,843.846.2322,S,
"Shuler Farm-Holly Hill, SC",3627 Vance Road,Holly Hill,SC,29059,Shuler Peach Co. ,3627 Vance Road,Holly Hill,SC,29059,Shuler Peach Co. ,Elliott,Shuler,shulere@dnr.sc.gov,803.759.0089,S,
"Simmons Farm-Moncks Corner, SC",1316 Longridge Rd.,Moncks Corner,SC,,Leon Simmons,1316 Longridge Rd.,Moncks Corner,SC,,Leon Simmons,Leon,Simmons,bentonmontgomeryiv@gmail.com,843-209-1053,S,
"Smalls Farm-Summerton, SC",1810 House Road,Summerton,SC,29148,Smalls Farm,1810 House Road,Summerton,SC,29148,Smalls Farm,Antonio,Smalls,smalls@smalls.com,803-478-7327,S, 
Solio Family Farms ,310 S Congress Street,Winnsboro,SC,29180,Midlands Biofuels LLC,310 S Congress Street,Winnsboro,SC,29180,Midlands Biofuels LLC,Joe,Renwick,biojoe@midlandsbiofuels.com,803-718-4727,S,
"Spade and Clover Farm - Johns Island, SC",2115 Canal St,Charleston,SC,29412,Spade and Clover Farm,2115 Canal St,Charleston,SC,29412,Spade and Clover Farm,John,Warren,thespadeandclover@gmail.com,803.479.5731,S,
"Split Creek Farm - Anderson, SC",3806 Centerville Road,Anderson,SC,29625,Split Creek Farm,3806 Centerville Road,Anderson,SC,29625,Split Creek Farm,Sara,Ann,order@splitcreek.com,864-287-3921,S,
"Sundown Farms - Harleyville, SC",1801 First Bend Road,Harleyville,SC,29448,Herbert Bishop,1801 First Bend Road,Harleyville,SC,29448,Herbert Bishop,Herbie,Bishop,bishophj@homesc.com,843-922-1136,S,
"Sweet Blues Farm - Hollywood, SC",5977 Shealy Drive ,Meggett,SC,29449,Sweet Blues Farm ,5977 Shealy Drive ,Meggett,SC,29449,Sweet Blues Farm ,Randolph,Bradham,jakes@growfoodcarolina.com,843-830-8791,S,
"Sweet Greens Farm - Johns Island, SC",3955 Betsy Kerrison Pkwy,Johns Island,SC,29455,Sweet Greens Farm,3955 Betsy Kerrison Pkwy,Johns Island,SC,29455,Sweet Greens Farm,Jim,Marzluff,sweetgreensfarm@gmail.com,843-327-2437,S,
"Sweetbay Produce & Nursery - Huger, SC",1541 Charity Church Road,Huger,SC,29450,Sweetbay Produce & Nursery ,1541 Charity Church Road,Huger,SC,29450,Sweetbay Produce & Nursery ,George,Nelson,geobnel@gmail.com,(843) 336-3907,S,
"Third Day Farms - Ridgeville, SC",242 Temple Rd.,Ridgeville,SC,29472,Nobles and Associates,242 Temple Rd.,Ridgeville,SC,29472,Nobles and Associates,Michael,Nobles,m_nobles@bellsouth.net,843-821-8886,S,
"Three Sons Farm-Wadmalaw, SC",6964 Maybank Hwy,Wadmalaw,SC,29487,Zach Nelson,6964 Maybank Hwy,Wadmalaw,SC,29487,Zach Nelson,Zach,Nelson,outside364@aol.com,843-708-0508,S,
"Tic Toc Farms - Beaufort, SC",29 Smoketree Ln.,Beaufort,SC,29907,Tic Toc Farms ,29 Smoketree Ln.,Beaufort,SC,29907,Tic Toc Farms ,William,Thorpe,willyt@islc.net,843-812-7993,S,
"Tic Toc Mushrooms - Beaufort, SC",29 Smoketree Ln.,Beaufort,SC,29907,William Thorpe,29 Smoketree Ln.,Beaufort,SC,29907,William Thorpe,William,Thorpe,willyt@islc.net,843-812-7993,S,
"Tyler Farms-Conway, SC",2025 Hwy 378,Conway,SC,29526,Shane Tyler,2025 Hwy 378,Conway,SC,29526,Shane Tyler,Shane,Tyler,shanetyler@sccoast.net,843-331-0996,S,
"Wabi Sabi Foragers-Cordesville, SC",685 Anderson Lane,Cordesville,SC,29434,Wabi Sabi Farm,685 Anderson Lane,Cordesville,SC,29434,Wabi Sabi Farm,Jimmy,Livingston-DHEC-#15,jlivingston@homesc.com,843.312.0856,S,
"Wabi Sabi Farm-Cordesville, SC",685 Anderson Lane,Cordesville,SC,29434,Wabi Sabi Farm,685 Anderson Lane,Cordesville,SC,29434,Wabi Sabi Farm,Jimmy & Jo,Livingston,jlivingston@homesc.com,843.312.0856,S,
Walthers Farms-Windsor (GC),1045 Oak Ridge Club Road,Windsor,SC,29856,Walthers Farms,1045 Oak Ridge Club Road,Windsor,SC,29856,Walthers Farms,Jeremy,Walther,jeremy.walther@waltherfarms.com,269.251.1034,S,
"Watsonia Farms-Monetta, SC",3755 Hwy 23,Monetta,SC,29105,Watsonia Farms,3755 Hwy 23,Monetta,SC,29105,Watsonia Farms,Jerry,Watson,watsonia@pbtcomm.net,803-685-7035,S,
"Wildcraft Farm - Johns Island, SC",1812 Towne St.,Johns Island,SC,29455,Andrew Widlowski,1812 Towne St.,Johns Island,SC,29455,Andrew Widlowski,Andrew,Widlowski,awidlowski@gmail.com,843-697-6193,S,
"Willard Farms - Gable, SC",1120 S. Brick Church Rd.,Gable,SC,29051,Willard Farms ,1120 S. Brick Church Rd.,Gable,SC,29051,Willard Farms ,Jay,Willard,jay.willard@aol.com,(803) 938-2814,S,
"Williams Vineyards-Nesmith, SC",200 Hampton Ave.,Kingstree,SC,29556,Williams Vineyards and Farms,200 Hampton Ave.,Kingstree,SC,29556,Williams Vineyards and Farms,Cassandra,Rush,crushcolumbia@aol.com,803.397.1859,S,
"Winsome Winn Farm - Meggett, SC",4651 Hwy 165,Meggett,SC,29449,Gale Smith,4651 Hwy 165,Meggett,SC,29449,Gale Smith,Gale,Smith,gale@smith-ellis.com,843-769-4401,S,
"Winyah Farms - Georgetown,SC",461 Preservation Circle,Pawleys Island,SC,29585,Winyah Farms ,461 Preservation Circle,Pawleys Island,SC,29585,Winyah Farms ,Alvilda,Meyers,alvildameyers@hotmail.com,410-320-2755,S,
"WW Kirven Farms - Darlington, SC",1241 N. Main Street,Darlington,SC,29540,WW Kirven Farms,2664 Leavensworth Road,Darlington,SC,29540,WW Kirven Farms,William ,Kirven IV,wwkirveniv@gmail.com,843-616-4049,S,
"Yaupon Farms - Wadmalaw Island, SC",2124 Allandale Plantation Rd,Wadmalaw,SC,29487,Yaupon Farms,2124 Allandale Plantation Rd,Wadmalaw,SC,29487,Yaupon Farms,Melinda ,Kelley,yauponsfarms@gmail.com,843.214.8266,S,
Rhubarb,7 SW Pack Square,Asheville,NC,28801,Rhubarb,7 SW Pack Square,Asheville,NC,28801,Rhubarb,John,Fleer,,,B,
Peach Dish,3528 Browns Mill Rd,Atlanta,GA,30354,Peach Dish,3528 Browns Mill Rd,Atlanta,GA,30354,Peach Dish,Rob,Wheeler,,,B,
Bulls Bay Golf Club,995 Bulls Bay Blvd.,Awendaw,SC,29429,Bulls Bay Golf Club,995 Bulls Bay Blvd.,Awendaw,SC,29429,Bulls Bay Golf Club,Michael,Maricich,,,B,
SILO,7A Market #1 Habersham ,Beaufort,SC,29906,SILO,7A Market #1,Beaufort,SC,29906,SILO,Patrick,Kelly,,,B,
Revelator Coffee,730 1st Ave N,Birmingham,AL,35203,Revelator Coffee,730 1st Ave N,Birmingham,AL,35203,Revelator Coffee,Stephan,Jacobsen,,,B,
"Farm - Bluffton, LLC",1301 May River Road,Bluffton,SC,29910,"Farm - Bluffton, LLC",1301 May River Road,Bluffton,SC,29910,"Farm - Bluffton, LLC",Ryan,Williamson,,,B,
Lowcountry Fresh,1198 Old Macbeth Rd,Bonneau,SC,29431,Lowcountry Fresh,1198 Old Macbeth Rd,Bonneau,SC,29431,Lowcountry Fresh,Christal,Orange,,,B,
Whole Foods Market - GA CDC,211 BDC Parkway,Braselton,GA,30517,Whole Foods Market - GA CDC,211 BDC Parkway,Braselton,GA,30517,Whole Foods Market - GA CDC,Brent,Demarest,,,B,
Southern Season - NC DC,PO Box 2678,Chapel Hill,NC,27515,Southern Season - NC DC,PO Box 2678,Chapel Hill,NC,27515,Southern Season - NC DC,Jaime,Faust,,,B,
Hank's Seafood Restaurant,10 Hayne St.,Charleston,SC,29401,Hank's Seafood Restaurant,10 Hayne St.,Charleston,SC,29401,Hank's Seafood Restaurant,Tim,Richardson,,,B,
Tristan,10 Linguard Street,Charleston,SC,29401,Tristan,10 Linguard Street,Charleston,SC,29401,Tristan,Nate,Whiting,,,B,
